NL input,Key Values,Cypher Query
"The same person must not perform an activity of type ""Approve Refund"" more than 5 times.","Activity: [""Approve Refund""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Approve Refund""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 5 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"An event with activity ""Complete Payment"" must be performed by the same person no more than 5 times.","Activity: [""Complete Payment""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Complete Payment""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 5 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
The same resource may not approve an order more than 2 times.,"Activity: [""Approve Order""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Approve Order""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 2 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"No individual may perform an event of type ""Process Order"" more than 10 times.","Activity: [""Process Order""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Process Order""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 10 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The maximum number of times a customer may make a ""Submit Complaint"" event is 3.","Activity: [""submit complaint""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""submit complaint""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 3 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The same actor may not perform more than 20 ""Log Activity"" actions.","Activity: [""log activity""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""log activity""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 20 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The same resource must not perform an event with activity ""Verify Invoice"" more than 10 times.","Activity: [""verify invoice""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""verify invoice""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 10 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"An employee must not perform a ""Schedule Meeting"" more than 3 times.","Activity: [""schedule meeting""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""schedule meeting""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 3 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The maximum number of times a manager may approve ""Vacation Request"" is 2.","Activity: [""approve vacation request""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""approve vacation request""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 2 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The same employee may not log more than 5 ""Work Hours"".","Activity: [""log work hours""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""log work hours""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 5 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"A staff member must not submit ""Expense Claims"" more than 4 times.","Activity: [""submit expense claim""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""submit expense claim""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 4 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"An actor may not approve a ""Purchase Order"" more than 1 time.","Activity: [""approve purchase order""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""approve purchase order""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 1 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"The same person must not perform a ""Review Request"" event more than 4 times.","Activity: [""Review Request""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Review Request""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 4 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
"No individual may perform a task of type ""Upload File"" more than 2 times.","Activity: [""Upload File""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Upload File""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 2 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
An employee must not submit more than 5 reports.,"Activity: [""Submit Report""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Submit Report""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 5 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
The same person must not interact with customers more than 20 times.,"Activity: [""Customer Interaction""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Customer Interaction""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 20 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
A user may not review more than 10 feedback forms.,"Activity: [""Review Feedback""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Review Feedback""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 10 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
No team member may finalize more than 3 projects.,"Activity: [""Finalize Project""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Finalize Project""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 3 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
An employee must not submit more than 2 leave requests.,"Activity: [""Submit Leave Request""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Submit Leave Request""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 2 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
The same person may not create more than 15 product listings.,"Activity: [""Create Product Listing""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Create Product Listing""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 15 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
It is required that the same person answers at most 50 customer support requests.,"Activity: [""Answer Customer Support Request""], EntityType: [], Actor: []","MATCH (e:Event {Activity: ""Answer Customer Support Request""}) WITH e.Actor AS actor, COUNT(e) AS occurrences WHERE occurrences > 50 RETURN CASE WHEN COUNT(actor) > 0 THEN false ELSE true END AS ruleSatisfied"
R1 must hand over work to R2 a minimum of 2 times.,"Activity: [], EntityType: [], Actor: [""R1"", ""R2""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'R1' AND e2.Actor = 'R2' WITH COUNT(*) AS handovers RETURN handovers >= 2 AS ruleSatisfied
John is required to transfer work to Susan no fewer than 5 times.,"Activity: [], EntityType: [], Actor: [""John"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'John' AND e2.Actor = 'Susan' WITH COUNT(*) AS handovers RETURN handovers >= 5 AS ruleSatisfied
The work handover from Alice to Bob must occur at most 3 times.,"Activity: [], EntityType: [], Actor: [""Alice"", ""Bob""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Alice' AND e2.Actor = 'Bob' WITH COUNT(*) AS handovers RETURN handovers <= 3 AS ruleSatisfied
It is necessary for Manager to hand over work to Assistant no less than 10 times.,"Activity: [], EntityType: [], Actor: [""Manager"", ""Assistant""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Manager' AND e2.Actor = 'Assistant' WITH COUNT(*) AS handovers RETURN handovers >= 10 AS ruleSatisfied
It is required that an event performed by Paul is directly followed by an event by Mark at least 4 times.,"Activity: [], EntityType: [], Actor: [""Paul"", ""Mark""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Paul' AND e2.Actor = 'Mark' WITH COUNT(*) AS handovers RETURN handovers >= 4 AS ruleSatisfied
It is required that an event performed by person Peter must be directly succeeded by a task performed by Susan at most 3 times.,"Activity: [], EntityType: [], Actor: [""Peter"", ""Susan""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Peter' AND e2.Actor = 'Susan' WITH COUNT(*) AS handovers RETURN handovers <= 3 AS ruleSatisfied
Jack must transfer work to Jill at least 8 times.,"Activity: [], EntityType: [], Actor: [""Jack"", ""Jill""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'Jack' AND e2.Actor = 'Jill' WITH COUNT(*) AS handovers RETURN handovers >= 8 AS ruleSatisfied
It is required that an event performed by Alice is directly followed by an event performed by Bob at most 2 times.,"Activity: [], EntityType: [], Actor: [""alice"", ""bob""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'alice' AND e2.Actor = 'bob' WITH COUNT(*) AS handovers RETURN handovers <= 2 AS ruleSatisfied
At least 5 instances must occur where Sarah’s actions are immediately followed by John’s actions.,"Activity: [], EntityType: [], Actor: [""sarah"", ""john""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'sarah' AND e2.Actor = 'john' WITH COUNT(*) AS handovers RETURN handovers >= 5 AS ruleSatisfied
A task by Anna must immediately precede a task by Peter no fewer than 3 times.,"Activity: [], EntityType: [], Actor: [""anna"", ""peter""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'anna' AND e2.Actor = 'peter' WITH COUNT(*) AS handovers RETURN handovers >= 3 AS ruleSatisfied
Tom must hand over work to Jerry at least 6 times.,"Activity: [], EntityType: [], Actor: [""tom"", ""jerry""]",MATCH (e1:Event)-[:DF]->(e2:Event) WHERE e1.Actor = 'tom' AND e2.Actor = 'jerry' WITH COUNT(*) AS handovers RETURN handovers >= 6 AS ruleSatisfied
